person_id;origin;destination;mode
10270_1;home;work;
10270_1;work;home;
10270_2;home;work;
10270_2;work;home;
10270_3;home;work;
10270_3;work;home;
10271_1;home;work;
10271_1;work;home;
10271_2;home;work;
10271_2;work;home;
10272_1;home;secondary;
10272_1;secondary;home;
10273_1;home;work;
10273_1;work;home;
10273_2;home;work;
10273_2;work;home;
10274_1;home;work;
10274_1;work;home;
10274_2;home;work;
10274_2;work;home;
10275_1;home;work;
10275_1;work;home;
10275_2;home;secondary;
10275_2;secondary;home;
10275_3;home;work;
10275_3;work;home;
10275_4;home;work;
10275_4;work;home;
10276_1;home;work;
10276_1;work;home;
10276_2;home;secondary;
10276_2;secondary;home;
10276_3;home;secondary;
10276_3;secondary;home;
10277_1;home;work;
10277_1;work;home;
10277_2;home;work;
10277_2;work;home;
10277_3;home;secondary;
10277_3;secondary;home;
10277_4;home;work;
10277_4;work;home;
10278_1;home;work;
10278_1;work;home;
10278_2;home;work;
10278_2;work;home;
10279_1;home;work;
10279_1;work;home;
10279_2;home;work;
10279_2;work;home;
1027_1;home;work;
1027_1;work;home;
1027_2;home;work;
1027_2;work;home;
1027_3;home;work;
1027_3;work;home;
10280_1;home;work;
10280_1;work;home;
10280_2;home;secondary;
10280_2;secondary;home;
10281_1;home;work;
10281_1;work;home;
10281_2;home;work;
10281_2;work;home;
10281_3;home;work;
10281_3;work;home;
10281_4;home;work;
10281_4;work;home;
10282_1;home;secondary;
10282_1;secondary;home;
10282_2;home;secondary;
10282_2;secondary;home;
10283_1;home;secondary;
10283_1;secondary;home;
10284_1;home;secondary;
10284_1;secondary;home;
10284_2;home;secondary;
10284_2;secondary;home;
10285_1;home;work;
10285_1;work;home;
10285_2;home;work;
10285_2;work;home;
10285_3;home;secondary;
10285_3;secondary;home;
10285_4;home;work;
10285_4;work;home;
10286_1;home;work;
10286_1;work;home;
10286_2;home;work;
10286_2;work;home;
10287_1;home;secondary;
10287_1;secondary;home;
10288_1;home;secondary;
10288_1;secondary;home;
10288_2;home;secondary;
10288_2;secondary;home;
10289_1;home;work;
10289_1;work;home;
10289_2;home;work;
10289_2;work;home;
1028_1;home;secondary;
1028_1;secondary;home;
10290_1;home;secondary;
10290_1;secondary;home;
10291_1;home;secondary;
10291_1;secondary;home;
10291_2;home;work;
10291_2;work;home;
10292_1;home;work;
10292_1;work;home;
10293_1;home;work;
10293_1;work;home;
10293_2;home;work;
10293_2;work;home;
10294_1;home;work;
10294_1;work;home;
10295_1;home;work;
10295_1;work;home;
10295_2;home;work;
10295_2;work;home;
10296_1;home;work;
10296_1;work;home;
10296_2;home;secondary;
10296_2;secondary;home;
10297_1;home;work;
10297_1;work;home;
10297_2;home;work;
10297_2;work;home;
10297_3;home;work;
10297_3;work;home;
