iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
496;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;;;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
497;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;;;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
498;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;;;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:41;14:27:42;14:27:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
499;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;;;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
500;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
501;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;;;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:42;14:27:43;14:27:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
502;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;;;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
503;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;;;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
504;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;;;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:43;14:27:44;14:27:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
505;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;;;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
